"Based on these 3 tables, fill in column Seller area, Buyer area, Buyer in Urban/Rural, Route and estimated shipping fee",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 1: Area and Urban/Rural definition,,,,,,,,,,,,,,,
state,city,urban_rural,area,,Table 2: Route definition,,,,,,,,,,
TP. H? Chí Minh,Huy?n Hóc Môn,Rural,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Huy?n C? Chi,Rural,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n Gò V?p,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n Bình Th?nh,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n Th? ??c,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Huy?n Bình Chánh,Rural,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Huy?n Nhà Bè,Rural,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Huy?n C?n Gi?,Rural,HCM,,,,,,,,,,,,
Hòa Bình,Thành Ph? Hòa Bình,Urban,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n Cao Phong,Rural,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n ?à B?c,Rural,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n Kim Bôi,Rural,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n K? S?n,Rural,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n L?c S?n,Rural,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n L?c Th?y,Rural,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n L??ng S?n,Rural,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n Mai Châu,Rural,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n Tân L?c,Rural,Northern area,,,,,,,,,,,,
Hòa Bình,Huy?n Yên Th?y,Rural,Northern area,,,,,,,,,,,,
H?ng Yên,Thành Ph? H?ng Yên,Urban,Northern area,,,,,,,,,,,,
H?ng Yên,Huy?n Ân Thi,Rural,Northern area,,,,,,,,,,,,
H?ng Yên,Huy?n Khoái Châu,Rural,Northern area,,,,,,,,,,,,
H?ng Yên,Huy?n Kim ??ng,Rural,Northern area,,,,,,,,,,,,
H?ng Yên,Huy?n M? Hào,Rural,Northern area,,,,,,,,,,,,
H?ng Yên,Huy?n Phù C?,Rural,Northern area,,,,,,,,,,,,
H?ng Yên,Huy?n Tiên L?,Rural,Northern area,,,,,,,,,,,,
H?ng Yên,Huy?n V?n Giang,Rural,Northern area,,,,,,,,,,,,
H?ng Yên,Huy?n V?n Lâm,Rural,Northern area,,,,,,,,,,,,
H?ng Yên,Huy?n Yên M?,Rural,Northern area,,,,,,,,,,,,
Khánh Hòa,Thành Ph? Nha Trang,Urban,Central area,,,,,,,,,,,,
Khánh Hòa,Thành Ph? Cam Ranh,Urban,Central area,,,,,,,,,,,,
Khánh Hòa,Huy?n Cam Lâm,Rural,Central area,,,,,,,,,,,,
Khánh Hòa,Huy?n Diên Khánh,Rural,Central area,,,,,,,,,,,,
Khánh Hòa,Huy?n Khánh S?n,Rural,Central area,,,,,,,,,,,,
Khánh Hòa,Huy?n Khánh V?nh,Rural,Central area,,,,,,,,,,,,
Khánh Hòa,Th? Xã Ninh Hòa,Rural,Central area,,,,,,,,,,,,
Khánh Hòa,Huy?n V?n Ninh,Rural,Central area,,,,,,,,,,,,
Kiên Giang,Thành Ph? R?ch Giá,Urban,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n An Biên,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n An Minh,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n Châu Thành,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n Phú Qu?c,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huyên Giang Thành,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n Gi?ng Ri?ng,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n Gò Quao,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n Hòn ??t,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n Kiên H?i,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n Kiên L??ng,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n Tân Hi?p,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Th? Xã Hà Tiên,Urban,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n U Minh Th??ng,Rural,Southern area,,,,,,,,,,,,
Kiên Giang,Huy?n V?nh Thu?n,Rural,Southern area,,,,,,,,,,,,
Kon Tum,Huy?n ??k Glei,Rural,Central area,,,,,,,,,,,,
Kon Tum,Huy?n ??k Hà,Rural,Central area,,,,,,,,,,,,
Kon Tum,Huy?n ??k Tô,Rural,Central area,,,,,,,,,,,,
Kon Tum,Huy?n Ia H' Drai,Rural,Central area,,,,,,,,,,,,
Kon Tum,Huy?n Kon Plông,Rural,Central area,,,,,,,,,,,,
Kon Tum,Huy?n Kon R?y,Rural,Central area,,,,,,,,,,,,
Kon Tum,Huy?n Ng?c H?i,Rural,Central area,,,,,,,,,,,,
Kon Tum,Thành Ph? Kon Tum,Urban,Central area,,,,,,,,,,,,
Kon Tum,Huy?n Sa Th?y,Rural,Central area,,,,,,,,,,,,
Kon Tum,Huy?n Tu M? Rông,Rural,Central area,,,,,,,,,,,,
Lai Châu,Thành Ph? Lai Châu,Urban,Northern area,,,,,,,,,,,,
Lai Châu,Huy?n M??ng Tè,Rural,Northern area,,,,,,,,,,,,
Lai Châu,Huy?n N?m Nhùn,Rural,Northern area,,,,,,,,,,,,
Lai Châu,Huy?n Phong Th?,Rural,Northern area,,,,,,,,,,,,
Lai Châu,Huy?n Sìn H?,Rural,Northern area,,,,,,,,,,,,
Lai Châu,Huy?n Tam ???ng,Rural,Northern area,,,,,,,,,,,,
Lai Châu,Huy?n Tân Uyên,Rural,Northern area,,,,,,,,,,,,
Lai Châu,Huy?n Than Uyên,Rural,Northern area,,,,,,,,,,,,
Lâm ??ng,Huy?n B?o Lâm,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Huy?n Cát Tiên,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Huy?n ?? Huoai,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Huy?n ?? T?h,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Huy?n ?am Rông,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Huy?n Di Linh,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Huy?n ??n D??ng,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Huy?n ??c Tr?ng,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Huy?n L?c D??ng,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Huy?n Lâm Hà,Rural,Central area,,,,,,,,,,,,
Lâm ??ng,Thành Ph? ?à L?t,Urban,Central area,,,,,,,,,,,,
Lâm ??ng,Thành Ph? B?o L?c,Urban,Central area,,,,,,,,,,,,
L?ng S?n,Thành Ph? L?ng S?n,Urban,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n B?c S?n,Rural,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n Bình Gia,Rural,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n Cao L?c,Rural,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n Chi L?ng,Rural,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n ?ình L?p,Rural,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n H?u L?ng,Rural,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n L?c Bình,Rural,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n Tràng ??nh,Rural,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n V?n Lãng,Rural,Northern area,,,,,,,,,,,,
L?ng S?n,Huy?n V?n Quan,Rural,Northern area,,,,,,,,,,,,
Lào Cai,Thành Ph? Lào Cai,Urban,Northern area,,,,,,,,,,,,
Lào Cai,Huy?n B?c Hà,Rural,Northern area,,,,,,,,,,,,
Lào Cai,Huy?n B?o Th?ng,Rural,Northern area,,,,,,,,,,,,
Lào Cai,Huy?n B?o Yên,Rural,Northern area,,,,,,,,,,,,
Lào Cai,Huy?n Bát Xát,Rural,Northern area,,,,,,,,,,,,
Lào Cai,Huy?n M??ng Kh??ng,Rural,Northern area,,,,,,,,,,,,
Lào Cai,Huy?n Sa Pa,Rural,Northern area,,,,,,,,,,,,
Lào Cai,Huy?n V?n Bàn,Rural,Northern area,,,,,,,,,,,,
Lào Cai,Huy?n Si Ma Cai,Rural,Northern area,,,,,,,,,,,,
Long An,Thành Ph? Tân An,Urban,Southern area,,,,,,,,,,,,
Long An,Huy?n B?n L?c,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n C?n ???c,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n C?n Gu?c,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n Châu Thành,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n ??c Hòa,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n ??c Hu?,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n M?c Hóa,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n Tân H?ng,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n Tân Th?nh,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n Tân Tr?,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n Th?nh Hóa,Rural,Southern area,,,,,,,,,,,,
Long An,Th? Xã Ki?n T??ng,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n Th? Th?a,Rural,Southern area,,,,,,,,,,,,
Long An,Huy?n V?nh H?ng,Rural,Southern area,,,,,,,,,,,,
Nam ??nh,Thành Ph? Nam ??nh,Urban,Northern area,,,,,,,,,,,,
Nam ??nh,Huy?n Giao Th?y,Rural,Northern area,,,,,,,,,,,,
Nam ??nh,Huy?n H?i H?u,Rural,Northern area,,,,,,,,,,,,
Nam ??nh,Huy?n M? L?c,Rural,Northern area,,,,,,,,,,,,
Nam ??nh,Huy?n Nam Tr?c,Rural,Northern area,,,,,,,,,,,,
Nam ??nh,Huy?n Ngh?a H?ng,Rural,Northern area,,,,,,,,,,,,
Nam ??nh,Huy?n Tr?c Ninh,Rural,Northern area,,,,,,,,,,,,
Nam ??nh,Huy?n V? B?n,Rural,Northern area,,,,,,,,,,,,
Nam ??nh,Huy?n Xuân Tr??ng,Rural,Northern area,,,,,,,,,,,,
Nam ??nh,Huy?n Ý Yên,Rural,Northern area,,,,,,,,,,,,
Ngh? An,Thành Ph? Vinh,Urban,Central area,,,,,,,,,,,,
Ngh? An,Th? Xã C?a Lò,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Anh S?n,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Con Cuông,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Di?n Châu,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n ?ô L??ng,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n H?ng Nguyên,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n K? S?n,Rural,Central area,,,,,,,,,,,,
Ngh? An,Th? Xã Hoàng Mai,Rural,Central area,,,,,,,,,,,,
Ngh? An,Th? Xã Thái Hòa,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Nam ?àn,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Nghi L?c,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Ngh?a ?àn,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Qu? Phong,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Qu? Châu,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Qu? H?p,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Qu?nh L?u,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Tân K?,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Thanh Ch??ng,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n T??ng D??ng,Rural,Central area,,,,,,,,,,,,
Ngh? An,Huy?n Yên Thành,Rural,Central area,,,,,,,,,,,,
Ninh Bình,Thành Ph? Tam ?i?p,Urban,Northern area,,,,,,,,,,,,
Ninh Bình,Huy?n Gia Vi?n,Rural,Northern area,,,,,,,,,,,,
Ninh Bình,Huy?n Hoa L?,Rural,Northern area,,,,,,,,,,,,
Ninh Bình,Huy?n Kim S?n,Rural,Northern area,,,,,,,,,,,,
Ninh Bình,Huy?n Nho Quan,Rural,Northern area,,,,,,,,,,,,
Ninh Bình,Thành Ph? Ninh Bình,Urban,Northern area,,,,,,,,,,,,
Ninh Bình,Huy?n Yên Khánh,Rural,Northern area,,,,,,,,,,,,
Ninh Bình,Huy?n Yên Mô,Rural,Northern area,,,,,,,,,,,,
Ninh Thu?n,Huy?n Bác Ái,Rural,Central area,,,,,,,,,,,,
Ninh Thu?n,Thành Ph? Phan Rang-Tháp Chàm,Urban,Central area,,,,,,,,,,,,
Ninh Thu?n,Huy?n Ninh H?i,Rural,Central area,,,,,,,,,,,,
Ninh Thu?n,Huy?n Ninh Ph??c,Rural,Central area,,,,,,,,,,,,
Ninh Thu?n,Huy?n Ninh S?n,Rural,Central area,,,,,,,,,,,,
Ninh Thu?n,Huy?n Thu?n B?c,Rural,Central area,,,,,,,,,,,,
Ninh Thu?n,Huy?n Thu?n Nam,Rural,Central area,,,,,,,,,,,,
Phú Th?,Thành Ph? Vi?t Trì,Urban,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n C?m Khê,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n ?oan Hùng,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n H? Hòa,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n Lâm Thao,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n Phù Ninh,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n Tam Nông,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n Tân S?n,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n Thanh Ba,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n Thanh S?n,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n Thanh Th?y,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Huy?n Yên L?p,Rural,Northern area,,,,,,,,,,,,
Phú Th?,Thi Xã Phú Th?,Rural,Northern area,,,,,,,,,,,,
Phú Yên,Th? Xã Sông C?u,Rural,Central area,,,,,,,,,,,,
Phú Yên,Huy?n ?ông Hòa,Rural,Central area,,,,,,,,,,,,
Phú Yên,Huy?n ??ng Xuân,Rural,Central area,,,,,,,,,,,,
Phú Yên,Huy?n Phú Hòa,Rural,Central area,,,,,,,,,,,,
Phú Yên,Huy?n S?n Hòa,Rural,Central area,,,,,,,,,,,,
Phú Yên,Huy?n Sông Hinh,Rural,Central area,,,,,,,,,,,,
Phú Yên,Thành Ph? Tuy Hòa,Urban,Central area,,,,,,,,,,,,
Phú Yên,Huy?n Tây Hòa,Rural,Central area,,,,,,,,,,,,
Phú Yên,Huy?n Tuy An,Rural,Central area,,,,,,,,,,,,
Qu?ng Bình,Thành Ph? ??ng H?i,Urban,Central area,,,,,,,,,,,,
Qu?ng Bình,Huy?n B? Tr?ch,Rural,Central area,,,,,,,,,,,,
Qu?ng Bình,Huy?n L? Th?y,Rural,Central area,,,,,,,,,,,,
Qu?ng Bình,Th? Xã Ba ??n,Rural,Central area,,,,,,,,,,,,
Qu?ng Bình,Huy?n Minh Hóa,Rural,Central area,,,,,,,,,,,,
Qu?ng Bình,Huy?n Qu?ng Ninh,Rural,Central area,,,,,,,,,,,,
Qu?ng Bình,Huy?n Qu?ng Tr?ch,Rural,Central area,,,,,,,,,,,,
Qu?ng Bình,Huy?n Tuyên Hóa,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Thành Ph? Tam K?,Urban,Central area,,,,,,,,,,,,
Qu?ng Nam,Thành Ph? H?i An,Urban,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n B?c Trà My,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n ??i L?c,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Th? Xã ?i?n Bàn,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n ?ông Giang,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Duy Xuyên,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Hi?p ??c,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Nam Giang,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Nam Trà My,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Nông S?n,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Núi Thành,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Phú Ninh,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Ph??c S?n,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Qu? S?n,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Tây Giang,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Th?ng Bình,Rural,Central area,,,,,,,,,,,,
Qu?ng Nam,Huy?n Tiên Ph??c,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Thành Ph? Qu?ng Ngãi,Urban,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n Ba T?,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n Bình S?n,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n ??c Ph?,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n Lý S?n,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n Minh Long,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n M? ??c,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n Ngh?a Hành,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n S?n Hà,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n S?n Tây,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n S?n T?nh,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n Tây Trà,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n Trà B?ng,Rural,Central area,,,,,,,,,,,,
Qu?ng Ngãi,Huy?n T? Ngh?a,Rural,Central area,,,,,,,,,,,,
Qu?ng Ninh,Thành Ph? C?m Ph?,Urban,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Thành Ph? Uông Bí,Urban,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Thành Ph? Móng Cái,Urban,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Thành Ph? H? Long,Urban,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Huy?n Ba Ch?,Rural,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Huy?n Bình Liêu,Rural,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Huy?n ??m Hà,Rural,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Huy?n Cô Tô,Rural,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Huy?n Vân ??n,Rural,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Th? Xã ?ông Tri?u,Rural,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Huy?n H?i Hà,Rural,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Huy?n Hoành B?,Rural,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Th? Xã Qu?ng Yên,Rural,Northern area,,,,,,,,,,,,
Qu?ng Ninh,Huy?n Tiên Yên,Rural,Northern area,,,,,,,,,,,,
Qu?ng Tr?,Thành Ph? ?ông Hà,Urban,Central area,,,,,,,,,,,,
Qu?ng Tr?,Th? Xã Qu?ng Tr?,Rural,Central area,,,,,,,,,,,,
Qu?ng Tr?,Huy?n Cam L?,Rural,Central area,,,,,,,,,,,,
Qu?ng Tr?,Huy?n C?n C?,Rural,Central area,,,,,,,,,,,,
Qu?ng Tr?,Huy?n ?a Krông,Rural,Central area,,,,,,,,,,,,
Qu?ng Tr?,Huy?n Gio Linh,Rural,Central area,,,,,,,,,,,,
Qu?ng Tr?,Huy?n H?i L?ng,Rural,Central area,,,,,,,,,,,,
Qu?ng Tr?,Huy?n H??ng Hóa,Rural,Central area,,,,,,,,,,,,
Qu?ng Tr?,Huy?n Tri?u Phong,Rural,Central area,,,,,,,,,,,,
Qu?ng Tr?,Huy?n V?nh Linh,Rural,Central area,,,,,,,,,,,,
Sóc Tr?ng,Thành Ph? Sóc Tr?ng,Urban,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Huy?n Châu Thành,Rural,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Huy?n Cù Lao Dung,Rural,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Huy?n K? Sách,Rural,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Huy?n Long Phú,Rural,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Th? Xã V?nh Châu,Rural,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Huy?n M? Tú,Rural,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Huy?n M? Xuyên,Rural,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Huy?n Th?nh Tr?,Rural,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Th? Xã Ngã N?m,Rural,Southern area,,,,,,,,,,,,
Sóc Tr?ng,Huy?n Tr?n ??,Rural,Southern area,,,,,,,,,,,,
S?n La,Thành Ph? S?n La,Urban,Northern area,,,,,,,,,,,,
S?n La,Huy?n B?c Yên,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n Mai S?n,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n M?c Châu,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n M??ng La,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n Phù Yên,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n Qu?nh Nhai,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n Sông Mã,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n S?p C?p,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n Thu?n Châu,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n Vân H?,Rural,Northern area,,,,,,,,,,,,
S?n La,Huy?n Yên Châu,Rural,Northern area,,,,,,,,,,,,
Tây Ninh,Huy?n B?n C?u,Rural,Southern area,,,,,,,,,,,,
Tây Ninh,Huy?n Châu Thành,Rural,Southern area,,,,,,,,,,,,
Tây Ninh,Huy?n D??ng Minh Châu,Rural,Southern area,,,,,,,,,,,,
Tây Ninh,Huy?n Gò D?u,Rural,Southern area,,,,,,,,,,,,
Tây Ninh,Huy?n Hòa Thành,Rural,Southern area,,,,,,,,,,,,
Tây Ninh,Huy?n Tân Biên,Rural,Southern area,,,,,,,,,,,,
Tây Ninh,Huy?n Tân Châu,Rural,Southern area,,,,,,,,,,,,
Tây Ninh,Thành Ph? Tây Ninh,Urban,Southern area,,,,,,,,,,,,
Tây Ninh,Huy?n Tr?ng Bàng,Rural,Southern area,,,,,,,,,,,,
Thái Bình,Huy?n ?ông H?ng,Rural,Northern area,,,,,,,,,,,,
Thái Bình,Huy?n H?ng Hà,Rural,Northern area,,,,,,,,,,,,
Thái Bình,Thành Ph? Thái Bình,Urban,Northern area,,,,,,,,,,,,
Thái Bình,Huy?n Ki?n X??ng,Rural,Northern area,,,,,,,,,,,,
Thái Bình,Huy?n Qu?nh Ph?,Rural,Northern area,,,,,,,,,,,,
Thái Bình,Huy?n Thái Th?y,Rural,Northern area,,,,,,,,,,,,
Thái Bình,Huy?n Ti?n H?i,Rural,Northern area,,,,,,,,,,,,
Thái Bình,Huy?n V? Th?,Rural,Northern area,,,,,,,,,,,,
Thái Nguyên,Huy?n ??i T?,Rural,Northern area,,,,,,,,,,,,
Thái Nguyên,Huy?n ??nh Hóa,Rural,Northern area,,,,,,,,,,,,
Thái Nguyên,Thành Ph? Thái Nguyên,Urban,Northern area,,,,,,,,,,,,
Thái Nguyên,Thành Ph? Sông Công,Urban,Northern area,,,,,,,,,,,,
Thái Nguyên,Huy?n ??ng H?,Rural,Northern area,,,,,,,,,,,,
Thái Nguyên,Th? Xã Ph? Yên,Rural,Northern area,,,,,,,,,,,,
Thái Nguyên,Huy?n Phú Bình,Rural,Northern area,,,,,,,,,,,,
Thái Nguyên,Huy?n Phú L??ng,Rural,Northern area,,,,,,,,,,,,
Thái Nguyên,Huy?n Võ Nhai,Rural,Northern area,,,,,,,,,,,,
Thanh Hóa,Thành Ph? Thanh Hóa,Urban,Central area,,,,,,,,,,,,
Thanh Hóa,Th? Xã S?m S?n,Urban,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Bá Th??c,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n C?m Th?y,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n ?ông S?n,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Hà Trung,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n H?u L?c,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Ho?ng Hóa,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Th? Xã B?m S?n,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Lang Chánh,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n M??ng Lát,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Nga S?n,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Ng?c L?c,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Nh? Thanh,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Nh? Xuân,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Nông C?ng,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Quan Hóa,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Quan S?n,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Qu?ng X??ng,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Th?ch Thành,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Thi?u Hóa,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Th? Xuân,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Th??ng Xuân,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n T?nh Gia,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Tri?u S?n,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n V?nh L?c,Rural,Central area,,,,,,,,,,,,
Thanh Hóa,Huy?n Yên ??nh,Rural,Central area,,,,,,,,,,,,
Th?a Thiên Hu?,Thành Ph? Hu?,Urban,Central area,,,,,,,,,,,,
Th?a Thiên Hu?,Huy?n A L??i,Rural,Central area,,,,,,,,,,,,
Th?a Thiên Hu?,Huy?n Nam ?ông,Rural,Central area,,,,,,,,,,,,
